coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Apr 01 12:41:02 +0000 2020,,,,0,1245330330942226437,,,,en,,,76,1245308867048767488,___kweenin,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @___kweenin: Where's paper? Lockdown and corona are forcing you to do what you should've done ages ago. Go paperless. Go digital, go onl…",https://twitter.com/chrisreymond89/status/1245330330942226437,Sat Oct 08 04:49:07 +0000 2011,chrisreymond89,false,"Content creator, Aspiring photographer,influential , Visual Specialist ,sagittarius ♐ , IG:chrisray1130 👑",23691,10334,10565,23,Azania 🇿🇦,shangaan prince👑,chrisreymond89,12046,,,false
,Wed Apr 01 18:21:30 +0000 2020,,,https://twitter.com/surnell/status/1245410590174019586,1,1245416013430026240,,,,en,,false,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Corona was a chinese virus earlier. Now it has been taken over by stone pelting &amp; ehshan faramosh muslims of India. https://t.co/OoCRf1HCAN,https://twitter.com/Amaresh80/status/1245416013430026240,Mon Nov 02 00:00:11 +0000 2009,Amaresh80,false,धर्मो रक्षति रक्षितः,10974,910,506,95,King Kharabela's Kalinga,Amaresh Rath,Amaresh80,220783,,,false
,Wed Apr 01 07:17:53 +0000 2020,CoronavirusUSA coronavirustesting,,,0,1245249006084620290,,,,en,,,36401,1245112522748899329,PanamaRedin215,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @PanamaRedin215: In case you were wondering what the Corona Virus test its like. #CoronavirusUSA #coronavirustesting https://t.co/zdKUgM…,https://twitter.com/E_Acevedo48/status/1245249006084620290,Mon Feb 25 21:12:12 +0000 2013,E_Acevedo48,false,Snap Chat: https://t.co/54PRhV04aC                                 Instagram: https://t.co/rNvV0HmspR,111452,867,620,7,Santa Ana,Erik Acevedo,E_Acevedo48,82751,,,false
,Wed Apr 01 06:13:40 +0000 2020,,,https://twitter.com/PanamaRedin215/status/1245112522748899329,90,1245232847083847680,,,,en,,false,40,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yeah fuck that if I got it I got it https://t.co/I7nypnnEwf,https://twitter.com/jordaninthecut_/status/1245232847083847680,Sat Dec 22 02:11:59 +0000 2012,jordaninthecut_,false,we in a different race,102296,2235,920,45,"Las Vegas, NV",jordy,jordaninthecut_,62993,,,false
,Wed Apr 01 11:13:25 +0000 2020,,,,0,1245308282639712258,,,,en,,,5940,1245297803745726465,ImranKhanPTI,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ImranKhanPTI: I want our youth to play their role in helping our fight against the COVID 19 by joining our Corona Tiger Force which wil…,https://twitter.com/Saima87s/status/1245308282639712258,Tue Feb 25 02:36:30 +0000 2020,Saima87s,false,"creative,listener,learner, and patriotic. science and arts both inspiring.",3580,130,105,0,"Lahore, Pakistan",Saima,Saima87s,5194,,,false
,Wed Apr 01 22:40:59 +0000 2020,,,,32,1245481312162586624,,,,en,,,6,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ummm, who even knew they had comatose, Corona-infected fat people on the 'Central Casting' rolls?",https://twitter.com/King_Of_Shade/status/1245481312162586624,Tue Nov 10 05:15:11 +0000 2015,King_Of_Shade,false,"Shining light on truth, my way.  But if you're on the ""wrong side"" of the ""light"", it kinda looks like ""Shade"".🔥",144452,20335,22318,65,Shadeville,Covfefe Jones- King Of Shade👑 FBR 🌊🌊,King_Of_Shade,39243,,https://amzn.to/2WntKti,false
,Wed Apr 01 16:14:28 +0000 2020,,,,0,1245384042343735296,,,,en,,,2760,1244938983567757313,Deion_Slanders,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Deion_Slanders: She's loud even on mute.,https://twitter.com/CoastboyMook/status/1245384042343735296,Mon Feb 06 03:29:48 +0000 2012,CoastboyMook,false,"RIP Pooh, TC, and Ralphie 👼🏾Romans 12:2| 9-12 Ocean Grown 🙇🏾| producer on the rise| Clayton State Alumnus",8615,1559,1092,39,"Savannah, GA",Miche💂🏾‍♀️,CoastboyMook,126543,,,false
,Wed Apr 01 17:41:40 +0000 2020,,,,0,1245405985780482048,,,,en,,,11,1245401342883041282,donahuejm,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @donahuejm: A pandemic's used to cut costs on Medicare, benefits for doctors &amp; nurses.
Expect Big Insurance to charge + 40% in the near…",https://twitter.com/blackla62213186/status/1245405985780482048,Fri Sep 13 12:06:06 +0000 2019,blackla62213186,false,Alive and kicking. No list or DM. Anarchist,3771,62,70,0,,@blacklash,blackla62213186,3524,,,false
,Wed Apr 01 15:59:18 +0000 2020,,,,0,1245380226831572992,,,,en,,,2,1245332917338935297,sadiayounas77,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @sadiayounas77: No government can win this war against Corona virus. Only a nation can win it. Do the right thing for your brothers &amp; si…,https://twitter.com/BinteZainab9/status/1245380226831572992,Wed Oct 31 12:11:37 +0000 2018,BinteZainab9,false,"Proud sister of @janbaazAqib and @iqrarulhassan ❤😇
Special Blessing of life @i_am_Sanaullah 💞
Janbaaz Gujranwala and Badamian💚🇵🇰
Member Of @TeamISF_ ✌",39937,1665,1175,1,"Gujranwala, Pakistan",Syeda BinteZainab💚(Happy Birthday Farah 🎊🎉🎁🎂),BinteZainab9,44875,,,false
,Wed Apr 01 17:53:22 +0000 2020,,,https://docs.google.com/spreadsheets/u/0/d/1JtEPPqZwwHEqxws_BLh4SgYHGkFyQW5TVr3CR70-ms4/htmlview,0,1245408932656549889,,,,en,,false,56,1245406714301747200,cjtruth,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @cjtruth: And the list will continue to grow...
Corona virus notables https://t.co/sh4CdOIarL",https://twitter.com/gkilti/status/1245408932656549889,Sat Sep 05 18:32:48 +0000 2009,gkilti,false,The big D!  Woo hoo!,264621,2681,1480,134,"Dallas, Texas",Gerri #KeepMakingAmericaGreat! 🇺🇸,gkilti,358289,,,false
