coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Mar 20 14:23:32 +0000 2020,coronavirus,,,0,1241007470295887873,,,,en,,,851,1240706732285767680,HHypocrisy101,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @HHypocrisy101: My fellow Americans!

My #coronavirus poll #1 ended up with 2600+ votes and a whopping 94% of those votes reported NO KN…",https://twitter.com/FranDeMario2/status/1241007470295887873,Wed Feb 24 17:28:41 +0000 2016,FranDeMario2,false,"Proud CULT45DEPLORABLE DemocratsAreDestroyingAmerica Donald Trump, “When somebody challenges you, fight back. Be brutal ,be tough.” NO PERSONAL DM’s",39321,19595,19871,5,"New York, USA",Fran Brooklyn 🇺🇸🇮🇹,FranDeMario2,92212,,,false
,Fri Mar 20 06:00:15 +0000 2020,,,,0,1240880815015264256,,,,en,,,7173,1240741141458358272,afreenusman1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @afreenusman1: As a doctor my self and as  wife of a doctor who is working with Corona Virus patients, let me assure you that we don’t w…",https://twitter.com/msamadsforever/status/1240880815015264256,Sat Jun 13 16:07:24 +0000 2015,msamadsforever,false,Cricketer 🏆 Bodybuilder,13602,242,459,0,"Hyderabad, India",Mohammed Samad Saber 🇮🇳,msamadsforever,1006,,,false
,Fri Mar 20 14:32:24 +0000 2020,IndiaFightsCorona,,,0,1241009703418621952,,,,en,,,10895,1241004802227572736,narendramodi,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @narendramodi: The young actors have something to say..

Its time to be 'Zyada Savdhan' and do 'Corona ka Punchnama'! #IndiaFightsCorona…",https://twitter.com/sandipdev2020/status/1241009703418621952,Tue Aug 10 21:44:03 +0000 2010,sandipdev2020,false,"All Tweets and re-tweets are my personal views, RT != endorsement",1468,12,83,0,,"Stay home, stay safe",sandipdev2020,1821,,,false
,Fri Mar 20 08:49:15 +0000 2020,,,,0,1240923346453196800,,,,en,,,1521,1240578273886658560,lowkeykyeom,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @lowkeykyeom: Indonesian carats went viral on the news for doing an open donation to help fight and prevent the spread of COVID-19! they…,https://twitter.com/chwerrypie/status/1240923346453196800,Tue Jan 07 12:36:44 +0000 2020,chwerrypie,false,fan account of @pledis_17,0,686,0,2,,✨,chwerrypie,7454,,,false
,Fri Mar 20 12:42:58 +0000 2020,coronavirus,,,0,1240982160749858816,,,,en,,,330,1240907207702654977,renoomokri,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @renoomokri: Corona Virus: ‘@MBuhari will address the nation when the time is right’ - Lie Mohammed

12 #coronavirus cases confirmed in…",https://twitter.com/OOkikiola/status/1240982160749858816,Sat May 21 19:34:12 +0000 2011,OOkikiola,false,Music! N more Music.★☆★..I sell Gadgets.😊pay on delivery.#temitope bakery,74924,2597,3306,26,Lagos,Daddy zion,OOkikiola,75406,,,false
,Fri Mar 20 13:52:24 +0000 2020,,https://twitter.com/arafatkasirye26/status/1240999636271280128/photo/1,,1,1240999636271280128,asabajames,1240923675064520700,936212809,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@asabajames Can u first show us the line up for corona virus?? https://t.co/WaHXXnfWU4,https://twitter.com/arafatkasirye26/status/1240999636271280128,Fri Mar 18 20:16:13 +0000 2016,arafatkasirye26,false,ARSENAL❤ TRAVELING❤ AND MAKING NEW FRIENDS IS A HOBBY❤ 🇺🇬🇺🇬🔥🔥,1164,165,800,0,"Kampala, Uganda",ARAFAT🇺🇬,arafatkasirye26,198,,,false
,Fri Mar 20 09:03:12 +0000 2020,,,,0,1240926857614131200,,,,en,,,2,1240841295129505792,KabilaThiagaraj,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @KabilaThiagaraj: Have you ever seen someone’s face and you just know they gonna say something dumb,https://twitter.com/nishtha_1710/status/1240926857614131200,Sat May 21 07:38:53 +0000 2016,nishtha_1710,false,95' | I wear dark lipstick on the regular,11629,246,462,3,Malaysia,Pluto1⁷,nishtha_1710,27070,,https://open.spotify.com/user/uwylapy0j0iowmr8qjbgb2bc0/playlist/1t7Asaw5CyQg3ozg9kYmOf?si=3i8u7B2GS,false
,Fri Mar 20 06:02:52 +0000 2020,,,,0,1240881474095595520,,,,en,,,27873,1240647292543262721,TheLifeOfNayy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @TheLifeOfNayy: Y’all dirty mfs brought corona home from Miami &amp; now it’s increased by 88% in 48HRS ....,https://twitter.com/babycciana/status/1240881474095595520,Sat Aug 17 03:01:22 +0000 2013,babycciana,false,,15678,409,232,2,Scorpio,3,babycciana,17466,,,false
,Fri Mar 20 08:07:11 +0000 2020,COVID19NIGERIA,https://twitter.com/Gavinmeekin/status/1240904169881505792/photo/1,,0,1240912760663355394,,,,en,,false,595,1240904169881505792,Gavinmeekin,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Gavinmeekin: A virus much more deadly than Corona.....
#COVID19NIGERIA https://t.co/y2piZdnaZK",https://twitter.com/MecoyAkinpelu/status/1240912760663355394,Sat May 02 13:05:07 +0000 2009,MecoyAkinpelu,false,Civil Engineer   •~•   Advocate for quality Leadership.   •~•   Lover of God,134,2309,832,33,"Lagos, Nigeria",Michael O. Akinpelu,MecoyAkinpelu,118496,,https://www.linkedin.com/in/michael-akinpelu-63b07a86,false
,Fri Mar 20 14:17:13 +0000 2020,Merciful_LordKabir,,,0,1241005880306515968,,,,en,,,1,1241005590740172801,Reenath54685011,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Reenath54685011: #Merciful_LordKabir
This Is Alert For Humanity.
Obey The Rule Of Kabir God
No Corona If Follow Rule Of Supreme God
Peo…",https://twitter.com/Nageshw30081476/status/1241005880306515968,Sun Mar 15 04:07:03 +0000 2020,Nageshw30081476,false,,659,45,90,0,,Nageshwar,Nageshw30081476,1358,,,false
