coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Apr 14 07:48:01 +0000 2020,,,,0,1249967633576767489,DrRPNishank,1249699099076489200,2617066206,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@DrRPNishank @MoHFW_INDIA @mygovindia @drharshvardhan @PIB_India Really commendable effort done by KVS by making KVS the Quarantine Centres for Corona!Teachers are also working hard by making learning possible for students by working from home and reaching online to students!Proud to be a Kvian!,https://twitter.com/RashmiK39296919/status/1249967633576767489,Fri Apr 10 13:33:20 +0000 2020,RashmiK39296919,true,Always on.,0,0,5,0,,Rashmi Kumari,RashmiK39296919,2,,,false
,Tue Apr 14 10:54:30 +0000 2020,,https://twitter.com/mrmanhere_/status/1250007967929425920/photo/1,,0,1250014560913952769,,,,en,,false,422,1250007967929425920,mrmanhere_,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @mrmanhere_: @legitngnews Corona virus to your immune system after using this: https://t.co/Jw8teCFxf8,https://twitter.com/TohPahz/status/1250014560913952769,Wed Mar 02 12:43:52 +0000 2016,TohPahz,false,"Foodie,  Don't stress me.. A baby girl 🥰",49170,975,639,1,"Abuja, Nigeria",Kalistress 💙,TohPahz,17060,,,false
,Tue Apr 14 15:41:47 +0000 2020,,,,0,1250086858438082563,,,,en,,,48,1250084342610657280,Omojuwa,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Omojuwa: People insist on telling your story then insist they know it better than you. That explains the “5G causes corona virus” level…,https://twitter.com/Owomail/status/1250086858438082563,Thu May 01 07:33:29 +0000 2014,Owomail,false,#WorkInProgress #QuantitySurveyor,317,158,119,1,Nigeria,Owolabi Ismail,Owomail,2169,,,false
,Tue Apr 14 16:37:24 +0000 2020,,,,0,1250100855241613314,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",after corona gone alot of things in life that we do gone stay the same,https://twitter.com/Frenchxe_/status/1250100855241613314,Sat Apr 04 03:40:48 +0000 2015,Frenchxe_,false,laser focused,5586,816,413,2,,[Frenchie],Frenchxe_,2388,,,false
,Wed Apr 15 02:52:47 +0000 2020,,,https://www.wesh.com/article/coronavirus-testing-site-opening-at-mall-at-millenia-wednesday/32149928,0,1250255723289882626,,,,en,,false,18,1250253816345366530,WESH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @WESH: Coronavirus testing site opening at Mall at Millenia Wednesday https://t.co/WOOr2OyQQv,https://twitter.com/anthnymartinez/status/1250255723289882626,Fri Apr 10 03:53:02 +0000 2009,anthnymartinez,false,,60,64,136,1,,Anthony,anthnymartinez,451,,,false
,Tue Apr 14 20:24:20 +0000 2020,,,,0,1250157966155792386,,,,en,,,218,1250120350316331010,PakPMO,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PakPMO: Number of Corona cases can spike anytime and anywhere. Hence precaution is mandatory for all. The young and the old, all have t…",https://twitter.com/AtishUsman/status/1250157966155792386,Sat Feb 14 06:16:42 +0000 2015,AtishUsman,false,,16126,384,1192,0,"Dammam,Saudi Arabia",Usman Asghar,AtishUsman,16018,,,false
,Wed Apr 15 02:14:43 +0000 2020,,,,0,1250246144334139394,,,,en,,,71231,1250243527201742848,21savage,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @21savage: Bang outside I hang outside 
don’t come out da house cuz corona outside",https://twitter.com/brianwildman15/status/1250246144334139394,Sat Aug 23 02:40:59 +0000 2014,brianwildman15,false,Live a little || Sc:brianwildman15,2399,361,408,1,"Massachusetts, USA",Brian Wildman,brianwildman15,1901,,,false
,Wed Apr 15 05:51:08 +0000 2020,,https://twitter.com/Gaandivdhaari/status/1250300605064568836/photo/1,https://twitter.com/RanaAyyub/status/1250289026252156928,4,1250300605064568836,,,,en,,false,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bibi these measures are taken because Normal patients are not doing this 😌😌 https://t.co/5faC7i2xSh https://t.co/Of075Otlml,https://twitter.com/Gaandivdhaari/status/1250300605064568836,Sat Mar 14 12:20:18 +0000 2020,Gaandivdhaari,false,"A simple guy, very rare political. Here for friends n Fun. Pissfulls, Seculars Bhimtas n Liberals Stay Away.",9897,469,258,0,Indraprastha,Arjun Tandon,Gaandivdhaari,9646,,http://www.MahaBharat.Com,false
,Tue Apr 14 08:55:13 +0000 2020,Corona hotspots,,,0,1249984545346039809,,,,en,,,1121,1249928024889278464,nsitharaman,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @nsitharaman: We have to be alert that there shall be no new #Corona #hotspots. We have to be as careful as we have been all this while.…,https://twitter.com/AnnaramD/status/1249984545346039809,Sun Dec 10 03:06:26 +0000 2017,AnnaramD,false,जय श्री राम जय श्री राम राधे राधे जी जय हिन्द जय भारत जय जवान जय किसान,317397,4645,2742,0,"राजस्थान, हिन्दूस्तान ",अन्नाराम धेङू सनातनी 🗨,AnnaramD,240727,,,false
,Tue Apr 14 09:51:26 +0000 2020,,,,0,1249998689608904707,,,,en,,,10,1249799344166973443,updateboyz_,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @updateboyz_: Person wey Corona no kill 
Wey hunger no kill,
Wey boredom no kill,
Watin go kill ham?",https://twitter.com/Zelajr_/status/1249998689608904707,Sun Apr 12 10:16:30 +0000 2020,Zelajr_,false,OLABISI ONABANJO UNIVERSITY♣️ 📌 DANCER✨📌 SPREAD LOVE♥️ 📌 THERE THEY GO⤵️ 📌,53,60,308,0,"Lagos, Nigeria",Ayobo Thug❁,Zelajr_,719,,,false
